x1,x2,x3,x4,x5
0.4915541145630844,0.5439846232288281,0.6063407045215095,0.6760527610952083,0.7000472580926106
0.5457470952738817,0.564260055491913,0.6197989361460072,0.6870096095235629,0.722381312787598
-3.474311992895853e8,-3.0882773247005254e8,-1.9301733201145434e8,-7.720693155285615e7,-3.8603464733323425e7
-6.826508908856078e14,-6.068007918983151e14,-3.7925049493643756e14,-1.5170019797455988e14,-7.585009898726731e13
-4.329261159286398e8,-3.848232139117499e8,-2.405145078610801e8,-9.620580181041028e7,-4.810289979352036e7
-2240.03642680862,-1990.5736476310185,-1242.1853100982144,-493.7969725654103,-244.33419338780897
-8.682425624994805,-6.905256643832562,-1.57374970034584,0.6022425020614834,0.6632414702920674
0.4586315032564787,0.5177860373978898,0.5990768737889925,0.6741083423135389,0.6999335034666697
0.4766311521063332,0.5357958968364972,0.603149327057624,0.6756775851248833,0.7005664076333652
0.48040818476141056,0.538317232936292,0.604040095290819,0.6758869836094789,0.700548904135938
0.48259972549666974,0.5394851555114913,0.6045539603740078,0.6759661461890041,0.7004884640374427
0.48422480279652247,0.5403571424588827,0.6049245117284306,0.6760093528425813,0.700427642819074
0.485513644603346,0.5410390575165969,0.6052075169359579,0.6760351446202503,0.7003721958818623
0.4865595461478496,0.5415815662114309,0.6054277928424234,0.6760503210761759,0.7003230563439483
0.48741570699210757,0.5420166244584634,0.6056007525490215,0.6760586131952917,0.7002801240610087
0.4881202106336401,0.5423678580269693,0.6057377643408658,0.6760626349220651,0.7002430942815977
