1989,-0.77,-1.16
1989.25,-3.07,-2.04
1989.5,-0.11,2.04
1989.75,-1.38,-1.05
1990,2.84,1.05
1990.25,1.84,0.68
1990.5,-1.59,0.11
1990.75,-4.26,-0.48
1991,-1.93,1.74
1991.25,3.31,2.4
1991.5,1.24,-0.78
1991.75,0.23,-0.77
1992,9.45,10.07
1992.25,1.94,-1.35
1992.5,0.57,0.49
1992.75,0.87,-0.65
1993,-5.09,-7.2
1993.25,0.21,-2.01
1993.5,-2.17,-3.69
1993.75,4.83,3.86
1994,-2.1,-3.67
1994.25,1.12,-0.84
1994.5,-1.59,-0.47
1994.75,4.36,3.12
1995,-1.65,1.03
1995.25,-0.29,4.13
1995.5,1.31,0.6
1995.75,0.66,1.08
1996,2.18,6.27
1996.25,3.48,-2.78
1996.5,1.52,-0.02
1996.75,1.26,1.88
1997,-0.53,-1.92
1997.25,3.39,2.68
1997.5,3.76,4.8
1997.75,1.13,-0.98
1998,1.72,1.69
1998.25,1.5,4.97
1998.5,3.81,4.38
1998.75,0.42,-1.44
1999,4.42,5.57
1999.25,-1.44,-0.96
1999.5,1.14,0.77
1999.75,4.33,6.1
2000,1.1,-0.36
2000.25,3.44,3.74
2000.5,-1.63,0.57
2000.75,1.11,4.34
2001,-1.84,0.69
2001.25,1.65,3.77
2001.5,-1.82,0.98
2001.75,1.05,4.39
2002,6.69,5.56
2002.25,-0.09,-1.58
2002.5,1.02,1.81
2002.75,0.06,-0.85
2003,2.01,0.84
2003.25,4.41,5.42
2003.5,4.76,4.47
2003.75,2.22,-1.81
2004,1.81,-0.08
2004.25,2.53,3.59
2004.5,3.02,2.83
2004.75,-0.07,2.39
2005,1.97,1.19
2005.25,0.02,0.28
2005.5,2.7,0.96
2005.75,1.41,-1.86
2006,3.97,2.95
2006.25,-1.54,-3.34
2006.5,-2.08,-2.76
2006.75,1.17,1.58
2007,-1.85,-1.63
2007.25,-0.07,-1.96
2007.5,-1.21,0.76
2007.75,-0.39,1.59
2008,-4.42,-4.54
2008.25,0.54,1.13
2008.5,-1.52,1.53
2008.75,-6.51,0.29
2009,-2.68,4.64
2009.25,3.4,8.56
2009.5,4.67,0.26
2009.75,5.57,1.76
2010,0.21,-4.03
2010.25,2.74,-2.17
2010.5,3.53,1.96
2010.75,0.44,-1.77
2011,-1.56,-1.3
2011.25,0.69,-1.19
2011.5,-0.89,-0.01
2011.75,3.68,2.53
2012,3.54,2.86
2012.25,-1.05,-0.06
2012.5,-0.54,-0.66
2012.75,-0.07,-0.95
2013,-0.04,-0.84
2013.25,0.07,0.09
2013.5,0.75,1.54
2013.75,2.55,2.74
2014,-3.58,-2.09
2014.25,4.81,2.19
2014.5,2.86,3.14
2014.75,0.95,0.1
2015,1.07,2.25
2015.25,1.01,2.58
2015.5,-0.87,-0.71
2015.75,-2.21,-2.11
2016,-0.77,-0.03
2016.25,-2.21,-1.6
2016.5,3.84,3.66
2016.75,0.06,-0.12
2017,-0.07,1.07
2017.25,1.25,0.26
2017.5,2.62,3.32
